R1,R2,R3,R4,G1,G2,G3,G4,B1,B2,B3,B4
12.580305382893261,41.88883578219511,42.706726836960335,61.04496792114934,49.26169887284826,55.4965277349044,55.692380705097214,44.43643105694215,63.82367738220482,47.94622336033388,46.27180107804246,15.572823507158391
12.884636331735274,43.17566359675681,43.98330697818206,62.87446734512349,50.68466426079946,57.35856577361508,57.380127045566645,45.70622563776799,65.99063569827841,49.38541438449839,47.676922703715746,16.023683628101814
13.575400802227076,45.956697934665016,46.63218808580361,66.87281976651603,53.810740798962186,61.39930055993701,60.93762604264694,48.60972535523228,70.51843099401198,52.49723527274693,50.67788992668552,16.91380133741825
13.803370157230132,46.99186358838521,47.917115174345426,68.72003924136631,55.27643231668276,63.2665750159517,63.0209876143239,49.72326215275386,72.98550467401554,54.034723120440034,52.197678029219894,17.203783935877507
13.614930978680912,46.175091264685385,47.003442243466104,67.08716712313641,54.130705939480826,62.01025969487566,61.08659052483308,48.797604676433544,71.01429573248545,52.85969068718778,51.15462532231297,16.937956225749026
13.565818293000055,46.01125221375111,46.945130592182274,67.30452928956377,54.16269763558336,61.856369175686844,61.755066644869935,48.73710958319478,71.37499674516181,52.94813953114145,51.13254808310432,16.868615051159342
13.243957652076315,44.59425022706947,45.3800879229839,64.83980829824472,52.25317517499925,59.53841968083086,59.04562801002929,47.20979365793534,68.37327335560369,51.031382645182475,49.34336164563735,16.440517491294898
12.986828613952232,43.62746732791842,44.539092637028254,63.891468296348286,51.49612117529585,58.2634715536225,58.583015526575345,46.286776000143824,67.18450748968401,50.13549738005381,48.34704909522515,16.10046967079586
12.914576800756922,43.30115779244551,44.1438933759758,63.029151585650176,50.92081892643834,57.78341128386528,57.59497390159676,45.853710916087216,66.3302167415886,49.621835554693355,47.93796642476634,16.005274684843368
12.747699656755669,42.62233622043953,43.489426068558785,62.21109131802106,50.18939386320922,56.66715740701413,56.88485791256913,45.185495652494495,65.23686516210935,48.856257900203296,47.14586611018982,15.807528786147088
12.664116228249561,42.26901509873539,43.12451701604452,61.68024008016955,49.766494702428744,56.169601543177116,56.46657415247146,44.83755555645798,64.6931537875447,48.490209601733675,46.778336564615344,15.682506100519984
12.663318961136024,42.282653515876476,43.16682954047688,61.729433809221824,49.86212136555485,56.32376788324774,56.62736507871718,44.842562298806456,64.85836399674794,48.5609194852429,46.851464865868785,15.667531073967464
